                                                                                                                     
{'loss': 1.2736, 'grad_norm': 2.971550226211548, 'learning_rate': 1.9963530666267607e-05, 'epoch': 0.08}
{'loss': 1.3364, 'grad_norm': 2.587069272994995, 'learning_rate': 1.9963189244778517e-05, 'epoch': 0.08}
{'loss': 1.2366, 'grad_norm': 3.309621572494507, 'learning_rate': 1.9962846235500378e-05, 'epoch': 0.08}
{'loss': 1.2081, 'grad_norm': 2.3235843181610107, 'learning_rate': 1.9962501638487852e-05, 'epoch': 0.08}
{'loss': 1.2032, 'grad_norm': 2.8896777629852295, 'learning_rate': 1.996215545379586e-05, 'epoch': 0.08}
{'loss': 1.2355, 'grad_norm': 2.612459659576416, 'learning_rate': 1.9961807681479567e-05, 'epoch': 0.08}
{'loss': 1.1988, 'grad_norm': 2.8586997985839844, 'learning_rate': 1.9961458321594395e-05, 'epoch': 0.08}
{'loss': 1.3142, 'grad_norm': 2.7701117992401123, 'learning_rate': 1.9961107374196025e-05, 'epoch': 0.08}
{'loss': 1.2525, 'grad_norm': 2.897961139678955, 'learning_rate': 1.996075483934039e-05, 'epoch': 0.08}
{'loss': 1.3209, 'grad_norm': 2.908385753631592, 'learning_rate': 1.996040071708366e-05, 'epoch': 0.09}
{'loss': 1.2873, 'grad_norm': 2.788775682449341, 'learning_rate': 1.9960045007482277e-05, 'epoch': 0.09}
{'loss': 1.3172, 'grad_norm': 8.208202362060547, 'learning_rate': 1.9959687710592927e-05, 'epoch': 0.09}
{'loss': 1.3697, 'grad_norm': 2.782068967819214, 'learning_rate': 1.995932882647255e-05, 'epoch': 0.09}
{'loss': 1.319, 'grad_norm': 10.173532485961914, 'learning_rate': 1.9958968355178342e-05, 'epoch': 0.09}
